OBJECTID,Address,Postal,Category,Organization,Property_Name,Property_Type,Year_Built,F2012_Square_Footage,F2013_Square_Footage,F2014_Square_Footage,F2015_Square_Footage,F2012_Site_EUI__kbtu_sq_ft__,F2013_Site_EUI__kbtu_sq_ft__,F2014_Site_EUI__kbtu_sq_ft__,F2015_Site_EUI__kbtu_sq_ft__,F2012_ENERGY_STAR_Score,F2013_ENERGY_STAR_Score,F2014_ENERGY_STAR_Score,F2015_ENERGY_STAR_Score,F2012_Weather_normalized_Site_E,F2013_Weather_normalized_Site_E,F2014_Weather_normalized_Site_E,F2015_Weather_normalized_Site_E,F2012_Emissions__metric_tons_,F2013_Emissions__metric_tons_,F2014_Emissions__metric_tons_,F2015_Emissions__metric_tons_,F2013_Water_Use__gal_,F2014_Water_Use__gal_,F2015_Water_Use__gal_,X,Y,PM_ID
1,1 Twins Way,55403,"Private Property - 100,000+ sqft",,,Other   Entertainment Public Assembly,2010,,,1127632,1127632,,,83,70,,,,0,,,82,71,,,14714,12870,,15040,13233,-93.278617,44.980684,"2,387,026"
2,11 4th St S,55401,"Private Property - 100,000+ sqft",,,Parking,1966,,,200500,20500,,,72,53,,,,0,,,70,56,,,305,223,,37,17,-93.270982,44.980251,"4,048,043"
3,15 S 5th St,55402,"Private Property - 100,000+ sqft",,,Office,1916,,,178008,178008,,,91,92,,,94,84,,,82,98,,,1296,1782,,200,2823,-93.271699,44.979201,"4,427,333"
4,16 9th St S,55402,"Private Property - 100,000+ sqft",,,Fitness Center Health Club Gym,1990,,,120000,120000,,,141,165,,,,0,,,137,169,,,2144,2178,,3440,4001,-93.276162,44.975995,"4,051,240"
5,20 Washington Ave S,55401,"Private Property - 100,000+ sqft",,,Office,1964,,,212724,212724,,,61,59,,,97,94,,,58,62,,,1830,1845,,3120,4073,-93.268499,44.982026,"1,458,033"
6,25 1st St N,55401,"Private Property - 100,000+ sqft",,,Parking,1982,,,479718,479718,,,3,3,,,,0,,,3,3,,,278,272,,0,0,-93.267688,44.984405,"4,197,408"
7,25 Grove St,55401,"Private Property - 100,000+ sqft",,,K 12 School,1922,,,156000,156000,,,67,66,,,80,78,,,61,72,,,951,998,,4138,4558,-93.263939,44.98744,"4,278,079"
8,30 S 7th St,55402,"Private Property - 100,000+ sqft",,,Hotel,1990,,,555000,555000,,,114,122,,,63,51,,,111,123,,,0,0,,25352,28557,-93.273385,44.977409,"3,351,729"
9,33 S 6th St,55402,"Private Property - 100,000+ sqft",,,Office,1982,,,1375717,1375717,,,75,67,,,98,99,,,73,69,,,14839,13288,,8995,8519,-93.272819,44.978387,"1,416,283"
10,43 Main St SE,55414,"Private Property - 100,000+ sqft",,,Office,1900,,,102266,,,,93,,,,62,,,,86,,,,1452,,,5714,,-93.258375,44.985984,"4,431,327"
11,45 S 7th St,55402,"Private Property - 100,000+ sqft",,,Mixed Use Property,1987,,,870775,,,,96,,,,79,,,,92,,,,8409,,,9817,,-93.272673,44.977045,"4,057,808"
12,45 S 8th St,55402,"Private Property - 100,000+ sqft",,,Hotel,1998,,,153040,115600,,,77,73,,,82,80,,,0,0,,,1255,1211,,4071,3820,-93.273976,44.976288,"4,050,300"
13,50 S 10th St,55403,"Private Property - 100,000+ sqft",,,Office,2001,,,541096,522088,,,98,92,,,85,85,,,95,94,,,6372,5874,,7691,7407,-93.275732,44.974464,"1,552,404"
14,50 S 6th St,55402,"Private Property - 100,000+ sqft",,,Office,2001,,,1085348,811250,,,65,61,,,84,85,,,62,62,,,10429,9854,,10573,10572,-93.27204,44.978121,"22,279"
15,60 S 6th St,55402,"Private Property - 100,000+ sqft",,,Office,1991,,,683103,683103,,,82,85,,,89,87,,,80,87,,,6854,6892,,5,3635,-93.271499,44.977892,"3,761,111"
16,80 S 8th St,55402,"Private Property - 100,000+ sqft",,,Mixed Use Property,1973,,,2463406,2266906,,,115,103,,,,0,,,111,105,,,28934,26558,,63064,63065,-93.272383,44.975682,"4,059,169"
17,88 S 6th St,55402,"Private Property - 100,000+ sqft",,,Hotel,2007,,,208442,208442,,,105,112,,,65,54,,,103,115,,,2664,2761,,6746,7755,-93.270395,44.977438,"1,342,224"
18,90 S 7th St,55402,"Private Property - 100,000+ sqft",,,Office,1987,,,1497930,1340572,,,56,52,,,92,92,,,54,53,,,13129,12544,,10517,11375,-93.27118,44.976476,"1,884"
19,100 6th St N,55403,"Private Property - 100,000+ sqft",,,Office,1906,,,457678,457678,,,54,51,,,94,94,,,51,53,,,3778,3746,,2937,4351,-93.274875,44.979694,"1,399,499"
20,100 Washington Ave S,55401,"Private Property - 100,000+ sqft",,,Office,1980,,,770894,632935,,,54,48,,,96,97,,,50,51,,,4578,4368,,4908,4745,-93.266081,44.980956,"1,446,352"
21,100 S 5th St,55402,"Private Property - 100,000+ sqft",,,Office,1984,,,1420153,1170000,,,58,53,,,92,91,,,55,55,,,11003,10546,,6992,8598,-93.269168,44.9782,"3,257,786"
22,105 5th Ave S,55401,"Private Property - 100,000+ sqft",,,Office,1890,,,115584,,,,116,,,,,,,,112,,,,1299,,,884,,-93.259986,44.980589,"4,060,149"
23,109 S 7th St,55402,"Private Property - 100,000+ sqft",,,Office,1927,,,195308,195308,,,91,77,,,89,92,,,87,80,,,1728,1556,,2045,2288,-93.270704,44.976212,"4,051,462"
24,110 5th St N,55403,"Private Property - 100,000+ sqft",,,Office,1916,,,205435,205435,,,144,109,,,50,66,,,143,110,,,3419,2978,,3920,3732,-93.27439,44.980913,"4,058,091"
25,111 3rd Ave S,55401,"Private Property - 100,000+ sqft",,,Office,1890,,,109190,,,,56,,,,90,,,,53,,,,946,,,864,,-93.262531,44.981812,"3,982,601"
26,111 Washington Ave S,55401,"Private Property - 100,000+ sqft",,,Office,1987,,,432830,432830,,,152,138,,,,0,,,151,139,,,13040,11942,,5764,5659,-93.266623,44.980983,"1,446,507"
27,120 S 6th St,55402,"Private Property - 100,000+ sqft",,,Office,1960,,,588537,525997,,,126,125,,,,87,,,122,129,,,7816,7756,,3067,3402,-93.269732,44.977153,"1,159,356"
28,121 S 8th St,55402,"Private Property - 100,000+ sqft",,,Office,1981,,,579622,511622,,,127,116,,,71,72,,,122,119,,,7857,7241,,6240,4140,-93.271344,44.975184,"3,812,681"
29,200 S 6th St,55402,"Private Property - 100,000+ sqft",,,Office,1981,,,1751374,1467832,,,46,42,,,96,96,,,44,43,,,12381,12006,,11659,13097,-93.268588,44.976679,"5,197"
30,201 S 11th St,55403,"Private Property - 100,000+ sqft",,,Hotel,2007,,,567560,,,,66,,,,80,,,,63,,,,3166,,,6100,,-93.272543,44.971733,"4,445,183"
31,212 3rd Ave N,55401,"Private Property - 100,000+ sqft",,,Office,1885,,,251465,251465,,,50,44,,,97,98,,,48,47,,,1620,1496,,1521,1355,-93.27198,44.984873,"4,060,637"
32,215 4th St S,55401,"Private Property - 100,000+ sqft",,,Hotel,1906,,,200000,,,,133,,,,24,,,,127,,,,3519,,,6110,,-93.266703,44.978434,"2,365,812"
33,222 S 9th St,55402,"Private Property - 100,000+ sqft",,,Office,1985,,,1035692,907692,,,92,79,,,87,90,,,88,81,,,9725,8336,,3500,3248,-93.270867,44.973732,"18,795"
34,224 5th St S,55402,"Private Property - 100,000+ sqft",,,Other,1920,,,812848,812848,,,142,136,,,,0,,,139,139,,,19398,19444,,8261,10763,-93.267462,44.977505,"4,051,962"
35,225 S 6th St,55402,"Private Property - 100,000+ sqft",,,Office,1992,,,1872031,1636050,,,65,62,,,95,94,,,63,63,,,17298,17054,,12672,14755,-93.268346,44.976511,"1,593,823"
36,250 Marquette Ave,55401,"Private Property - 100,000+ sqft",,,Office,1972,,,667160,549348,,,131,130,,,95,95,,,129,133,,,9811,9817,,2895,5722,-93.267306,44.980611,"1,575,710"
37,255 2nd Ave S,55401,"Private Property - 100,000+ sqft",,,Office,1900,,,528599,528599,,,179,163,,,4,6,,,178,164,,,18598,16762,,9453,9107,-93.265806,44.980058,"3,229,176"
38,275 Market St,55405,"Private Property - 100,000+ sqft",,,Mixed Use Property,1914,,,658786,565336,,,55,53,,,,0,,,53,55,,,4565,4693,,5471,9060,-93.289727,44.980456,"4,057,423"
39,300 S 4th St,55415,"Private Property - 100,000+ sqft",,,Courthouse,1997,,,738583,,,,124,,,,60,,,,118,,,,0,,,2692,,-93.265581,44.97801,"1,165,566"
40,301 4th Ave S,55415,"Private Property - 100,000+ sqft",,,Office,1881,,,150293,150293,,,109,89,,,84,82,,,100,96,,,1425,1265,,5571,2337,-93.263637,44.978308,"4,064,197"
41,310 38th St E,55409,"Private Property - 100,000+ sqft",,,Social Meeting Hall,1918,,,216300,216300,,,68,59,,,,0,,,62,63,,,1394,1295,,2267,1768,-93.271701,44.934177,"4,021,882"
42,310 4th Ave S,55415,"Private Property - 100,000+ sqft",,,Office,1900,,,142688,129636,,,97,72,,,79,92,,,92,76,,,1378,869,,516,500,-93.263686,44.978351,"4,048,278"
43,311 2nd St SE,55414,"Private Property - 100,000+ sqft",,,Mixed Use Property,1968,,,366600,366600,,,140,131,,,,0,,,137,133,,,6135,5855,,5061,4820,-93.251311,44.984106,"4,048,366"
44,330 2nd Ave S,55401,"Private Property - 100,000+ sqft",,,Office,1980,,,256622,233522,,,79,69,,,79,81,,,73,72,,,2483,2363,,1672,2169,-93.266677,44.979131,"1,417,469"
45,331 2nd Ave S,55401,"Private Property - 100,000+ sqft",,,Office,1982,,,137823,137823,,,178,83,,,97,100,,,173,87,,,4303,1812,,1177,1763,-93.266887,44.978779,"4,477,018"
46,333 S 7th St,55402,"Private Property - 100,000+ sqft",,,Office,1987,,,917687,671610,,,88,82,,,91,92,,,83,85,,,2089,1801,,5106,4655,-93.267399,44.974805,"13,139"
47,333 S 12th St,55404,"Private Property - 100,000+ sqft",,,Worship Facility,1928,,,108000,108000,,,83,79,,,44,39,,,76,85,,,792,764,,817,717,-93.271641,44.970057,"4,441,663"
48,400 1st Ave N,55401,"Private Property - 100,000+ sqft",,,Office,1910,,,224808,224808,,,92,76,,,83,86,,,88,79,,,2440,2200,,1296,1936,-93.272889,44.981023,"4,058,089"
49,400 4th St S,55415,"Private Property - 100,000+ sqft",,,Office,1881,,,243853,243853,,,109,89,,,85,84,,,101,96,,,2324,2053,,7809,3817,-93.26375,44.977255,"4,064,217"
50,400 Stinson Blvd,55413,"Private Property - 100,000+ sqft",,,Office,1920,,,253077,,,,132,,,,62,,,,132,,,,4325,,,3779,,-93.227097,44.993487,"3,311,719"
51,401 2nd Ave N,55401,"Private Property - 100,000+ sqft",,,Office,1894,,,104843,104843,,,80,67,,,80,81,,,75,71,,,1100,1064,,1845,1561,-93.273721,44.981969,"4,058,086"
52,401 N 3rd St,55401,"Private Property - 100,000+ sqft",,,Office,1901,,,160188,107839,,,94,65,,,,0,,,88,69,,,1142,1004,,1264,1032,-93.27561,44.985039,"3,632,120"
53,405 S 8th St,55404,"Private Property - 100,000+ sqft",,,Hotel,1924,,,136699,136699,,,153,130,,,46,51,,,144,135,,,1979,1798,,7916,7252,-93.267424,44.973553,"4,434,905"
54,409 Marquette Ave,55401,"Private Property - 100,000+ sqft",,,Parking,1953,,,146080,146080,,,7,6,,,,0,,,6,6,,,186,164,,85,44,-93.268516,44.979078,"4,058,404"
55,412 S 3rd St,55415,"Private Property - 100,000+ sqft",,,Parking,1983,,,545975,545975,,,7,6,,,,0,,,7,6,,,792,648,,198,190,-93.26335,44.978406,"4,048,504"
56,414 Nicollet Ave S,55401,"Private Property - 100,000+ sqft",,,Office,1967,,,373735,373735,,,54,127,,,90,23,,,0,130,,,4112,9725,,10225,7570,-93.269985,44.979608,"4,054,754"
57,420 N 5th St,55401,"Private Property - 100,000+ sqft",,,Office,1913,,,318595,304150,,,88,70,,,88,91,,,82,73,,,3514,3102,,8930,1285,-93.277602,44.98328,"3,431,313"
58,500 S 6th St,55415,"Private Property - 100,000+ sqft",,,Parking,1935,,,146400,,,,15,,,,,,,,15,,,,88,,,0,,-93.264509,44.974949,"4,075,687"
59,500 Washington Ave S,55415,"Private Property - 100,000+ sqft",,,Office,2001,,,286394,143197,,,59,102,,,97,67,,,57,105,,,2245,2146,,9,11,-93.260441,44.978606,"1,589,689"
60,501 4th Ave S,55415,"Private Property - 100,000+ sqft",,,Parking,1974,,,249120,87120,,,37,23,,,,0,,,37,23,,,426,399,,120,167,-93.265476,44.976108,"4,048,053"
61,510 1st Ave N,55403,"Private Property - 100,000+ sqft",,,Office,1910,,,138474,138474,,,67,77,,,,0,,,62,80,,,1175,1697,,2679,4742,-93.273954,44.980264,"4,056,684"
62,511 Groveland Ave,55403,"Private Property - 100,000+ sqft",,,Worship Facility,1916,,,106412,106412,,,71,56,,,60,64,,,64,61,,,721,638,,712,868,-93.287706,44.967034,"4,126,740"
63,511 Kenwood Pkwy,55403,"Private Property - 100,000+ sqft",,,K 12 School,1902,,,120000,151904,,,145,91,,,16,46,,,137,95,,,1795,1480,,1750,1219,-93.293002,44.969822,"4,002,040"
64,517 Marquette Ave,55402,"Private Property - 100,000+ sqft",,,Parking,1999,,,252783,63583,,,44,34,,,,0,,,42,36,,,385,322,,24,16,-93.269439,44.978001,"4,048,047"
65,527 Marquette Ave,55402,"Private Property - 100,000+ sqft",,,Office,1929,,,142136,142136,,,147,181,,,52,34,,,130,191,,,0,0,,18,18,-93.269508,44.97792,"4,046,124"
66,528 Hennepin Ave,55403,"Private Property - 100,000+ sqft",,,Performing Arts,1888,,,119970,119970,,,78,64,,,,0,,,72,67,,,1324,1170,,2257,2773,-93.273599,44.978874,"4,053,908"
67,555 Nicollet Mall,55402,"Private Property - 100,000+ sqft",,,Mixed Use Property,1991,,,113000,113000,,,88,68,,,,0,,,83,70,,,0,0,,685,832,-93.271008,44.978235,"2,292,903"
68,570 6th Ave N,55411,"Private Property - 100,000+ sqft",,,Parking,1984,,,285160,285160,,,97,68,,,,0,,,89,75,,,2386,1877,,7509,6955,-93.281233,44.984249,"4,458,396"
69,600 Stinson Blvd,55413,"Private Property - 100,000+ sqft",,,Other,1920,,,250556,,,,235,,,,,,,,232,,,,10364,,,2906,,-93.227224,44.995153,"4,056,373"
70,601 1st Ave N,55403,"Private Property - 100,000+ sqft",,,Hotel,2003,,,208721,208721,,,104,103,,,66,61,,,101,105,,,2914,2788,,6808,6907,-93.274825,44.979564,"4,049,986"
71,606 24th Ave S,55454,"Private Property - 100,000+ sqft",,,Hospital  General Medical & Surgical,1945,,,596511,596511,,,144,170,,,99,94,,,144,171,,,9555,11564,,19614,19436,-93.23776,44.967111,"4,099,248"
72,608 2nd Ave S,55402,"Private Property - 100,000+ sqft",,,Office,1916,,,1518974,1075164,,,103,105,,,64,58,,,99,107,,,16623,16975,,26642,26473,-93.268805,44.976652,"4,058,423"
73,615 1st Ave NE,55413,"Private Property - 100,000+ sqft",,,Office,1928,,,157227,157227,,,63,65,,,91,78,,,60,66,,,1433,1788,,759,949,-93.252131,44.990756,"3,230,204"
74,615 2nd Ave S,55402,"Private Property - 100,000+ sqft",,,Hotel,2001,,,200503,200503,,,195,171,,,7,7,,,185,179,,,3831,3526,,16348,15820,-93.269207,44.976069,"2,554,688"
75,625 4th Ave S,55415,"Private Property - 100,000+ sqft",,,Office,1981,,,525000,,,,77,,,,,,,,0,,,,5493,,,5612,,-93.266197,44.975248,"1,310,795"
76,651 Nicollet Mall,55402,"Private Property - 100,000+ sqft",,,Office,1989,,,328126,199323,,,118,154,,,34,10,,,113,158,,,5612,4728,,2578,2662,-93.271558,44.977618,"4,508,491"
77,700 Nicollet Mall,55402,"Private Property - 100,000+ sqft",,,Retail Store,1902,,,1235912,1235912,,,84,74,,,76,78,,,80,77,,,11080,9877,,15851,15205,-93.272626,44.976511,"3,902,920"
78,701 N Washington Ave,55401,"Private Property - 100,000+ sqft",,,Office,1911,,,117500,135500,,,157,130,,,31,41,,,147,137,,,2055,2043,,3,4,-93.276692,44.987457,"4,054,647"
79,706 2nd Ave S,55402,"Private Property - 100,000+ sqft",,,Office,1926,,,112356,112356,,,181,144,,,5,9,,,175,149,,,3146,2715,,690,771,-93.269797,44.97548,"4,043,265"
80,707 2nd Ave S,55402,"Private Property - 100,000+ sqft",,,Financial Office,1999,,,1156997,972407,,,83,77,,,90,91,,,78,81,,,11305,10649,,10183,13156,-93.269601,44.975601,"1,254,430"
81,708 N 1st St,55401,"Private Property - 100,000+ sqft",,,Office,1905,,,127484,127484,,,60,52,,,82,83,,,56,54,,,148,106,,5400,4552,-93.274649,44.989387,"3,230,440"
82,710 S 2nd St,55401,"Private Property - 100,000+ sqft",,,Office,2003,,,119155,119155,,,110,105,,,80,78,,,106,111,,,1207,1190,,1957,1865,-93.257521,44.97863,"4,059,972"
83,711 Hennepin Ave,55403,"Private Property - 100,000+ sqft",,,Mixed Use Property,1972,,,101000,93000,,,95,90,,,,0,,,85,96,,,987,1064,,1270,1555,-93.275254,44.977625,"4,279,195"
84,721 Vineland Pl,55403,"Private Property - 100,000+ sqft",,,Museum,1970,,,280000,230000,,,156,160,,,,0,,,150,162,,,4363,4403,,5748,4616,-93.288904,44.96886,"4,052,550"
85,730 2nd Ave S,55402,"Private Property - 100,000+ sqft",,,Office,1968,,,409505,329505,,,90,82,,,93,94,,,87,84,,,2693,2489,,3483,3897,-93.270127,44.97508,"4,043,591"
86,733 S Marquette Ave,55402,"Private Property - 100,000+ sqft",,,Office,1926,,,424583,424583,,,85,72,,,93,96,,,83,74,,,3937,3356,,4370,4888,-93.271051,44.976067,"4,051,272"
87,800 E 28th St,55407,"Private Property - 100,000+ sqft",,,Hospital  General Medical & Surgical,1926,,,1560501,,,,256,,,,36,,,,249,,,,41824,,,76606,,-93.26251,44.951979,"4,262,394"
88,800 Lasalle Ave,55402,"Private Property - 100,000+ sqft",,,Office,1991,,,934285,782575,,,112,95,,,76,85,,,109,97,,,11511,9364,,11333,13300,-93.274848,44.97621,"2,367,781"
89,800 Nicollet Mall,55402,"Private Property - 100,000+ sqft",,,Office,2000,,,1183471,1047458,,,84,71,,,84,86,,,81,73,,,12962,12019,,21364,15903,-93.273497,44.97545,"1,090,106"
90,800 Washington Ave N,55401,"Private Property - 100,000+ sqft",,,Office,1902,,,382374,,,,61,,,,89,,,,58,,,,3666,,,6371,,-93.279034,44.989294,"2,674,940"
91,801 Lasalle Ave,55402,"Private Property - 100,000+ sqft",,,Parking,1968,,,250000,250000,,,8,6,,,,0,,,8,6,,,396,320,,0,0,-93.274895,44.976029,"3,998,758"
92,801 Nicollet Mall,55402,"Private Property - 100,000+ sqft",,,Office,1968,,,777563,,,,90,,,,81,,,,85,,,,6505,,,0,,-93.273246,44.975649,"2,773,144"
93,814 9th St S,55404,"Private Property - 100,000+ sqft",,,Parking,1981,,,353080,24731,,,194,74,,,,0,,,180,75,,,508,344,,117,115,-93.262191,44.970045,"4,123,150"
94,818 2nd St S,55415,"Private Property - 100,000+ sqft",,,Performing Arts,2006,,,360630,272630,,,170,166,,,,0,,,165,171,,,4665,4863,,7089,8082,-93.25596,44.977956,"4,057,815"
95,818 Dunwoody Blvd,55403,"Private Property - 100,000+ sqft",,,Vocational School,1914,,,225776,225776,,,106,81,,,,0,,,99,86,,,2422,2086,,5624,7404,-93.29112,44.972147,"4,518,015"
96,818 S 2nd St,55415,"Private Property - 100,000+ sqft",,,Performing Arts,2006,,,231642,231642,,,120,119,,,,0,,,120,119,,,5404,5350,,9952,11923,-93.255839,44.977911,"4,442,275"
97,821 Marquette Ave,55402,"Private Property - 100,000+ sqft",,,Hotel,1929,,,242879,202536,,,176,98,,,1,18,,,174,99,,,5797,2603,,11153,11901,-93.271838,44.975092,"4,344,464"
98,825 Nicollet Mall,55402,"Private Property - 100,000+ sqft",,,Medical Office,1923,,,299253,299253,,,130,136,,,70,69,,,125,141,,,4059,4227,,52,5274,-93.273668,44.975148,"4,007,055"
99,825 S 8th St,55404,"Private Property - 100,000+ sqft",,,Office,1982,,,176529,176529,,,165,179,,,15,16,,,159,185,,,3885,3617,,6073,5296,-93.26177,44.971118,"3,227,064"
100,900 2nd Ave S,55402,"Private Property - 100,000+ sqft",,,Office,1984,,,439860,365574,,,104,99,,,44,47,,,100,100,,,6958,6796,,4360,5414,-93.271427,44.9735,"3,985,064"
101,900 4th St N,55401,"Private Property - 100,000+ sqft",,,Other   Lodging Residential,1860,,,130000,130000,,,106,98,,,,0,,,98,108,,,1048,1024,,1861,2437,-93.281763,44.987864,"4,047,629"
102,900 Nicollet Mall,55402,"Private Property - 100,000+ sqft",,,Retail Store,2001,,,185238,158193,,,91,89,,,70,67,,,88,89,,,2986,2776,,0,0,-93.273953,44.974934,"1,547,862"
103,901 3rd Ave S,55402,"Private Property - 100,000+ sqft",,,Financial Office,2002,,,1266008,979787,,,67,62,,,93,94,,,64,63,,,10681,10223,,9442,11437,-93.270165,44.972679,"1,250,989"
104,901 Marquette Ave,55402,"Private Property - 100,000+ sqft",,,Office,1991,,,751583,685144,,,67,61,,,88,93,,,64,62,,,7798,7356,,4596,4328,-93.272539,44.974282,"3,790,355"
105,910 Elliot Ave,55404,"Private Property - 100,000+ sqft",,,College University,1900,,,117144,117144,,,65,57,,,,0,,,61,61,,,806,750,,2488,2026,-93.261076,44.969616,"3,991,738"
106,910 Lasalle Ave,55402,"Private Property - 100,000+ sqft",,,Parking,1954,,,210700,210700,,,6,5,,,,0,,,5,6,,,226,210,,32,42,-93.275577,44.97529,"4,058,417"
107,920 2nd Ave S,55402,"Private Property - 100,000+ sqft",,,Office,1986,,,342765,293978,,,75,67,,,80,84,,,71,69,,,3671,3481,,3724,4544,-93.27137,44.973581,"3,985,401"
108,921 Marquette Ave,55402,"Private Property - 100,000+ sqft",,,Parking,1961,,,461314,76114,,,110,58,,,,0,,,110,62,,,634,397,,325,294,-93.272966,44.973768,"4,048,062"
109,1000 Lasalle Ave,55403,"Private Property - 100,000+ sqft",,,College University,1992,,,165516,165516,,,130,104,,,,0,,,126,105,,,2616,2261,,2507,2746,-93.276246,44.974471,"4,056,962"
110,1001 Marquette Ave,55403,"Private Property - 100,000+ sqft",,,Hotel,1992,,,687758,,,,146,,,,41,,,,141,,,,11014,,,44866,,-93.273546,44.973038,"4,041,425"
